symbol,date,last_close_price,confidence,actual_close,percent_move,correct_prediction
RAMCOIND,22042025,242.4,0.86,243.35,0.39,1
HDFCNIF100,22042025,25.23,0.85,25.44,0.83,1
METROPOLIS,22042025,1752.7,0.84,1749.7,-0.17,0
IVZINGOLD,22042025,8681.1,0.83,8428.05,-2.91,0
NIBL,22042025,23.67,0.81,23.57,-0.42,0
MOM50,22042025,248.88,0.81,249.84,0.39,1
BANKPSU,22042025,66.97,0.78,66.58,-0.58,0
PFS,22042025,34.25,0.78,34.34,0.26,1
AXISTECETF,22042025,363.9,0.78,378.64,4.05,1
BCLIND,22042025,40.57,0.77,40.31,-0.64,0
PUNJABCHEM,22042025,1056.15,0.77,1060.95,0.45,1
STCINDIA,22042025,123.47,0.76,123.28,-0.15,0
DHANI,22042025,62.29,0.76,62.09,-0.32,0
WENDT,22042025,10822.0,0.76,10949.5,1.18,1
LIQUIDPLUS,22042025,1028.57,0.75,1028.73,0.02,1
COALINDIA,22042025,398.6,0.75,398.95,0.09,1
QGOLDHALF,22042025,82.51,0.75,80.2,-2.8,0
IKIO,22042025,247.57,0.74,244.75,-1.14,0
SBIETFPB,22042025,281.33,0.74,279.38,-0.69,0
PSUBNKBEES,22042025,74.65,0.74,74.29,-0.48,0
BEL,22042025,303.35,0.74,305.85,0.82,1
UYFINCORP,22042025,19.07,0.74,19.34,1.42,1
CANTABIL,22042025,263.05,0.73,264.4,0.51,1
SANDESH,22042025,1186.8,0.73,1163.7,-1.95,0
SUNDARMFIN,22042025,5340.4,0.73,5296.4,-0.82,0
GOLDIETF,22042025,85.35,0.73,82.99,-2.77,0
CCHHL,22042025,17.56,0.73,17.36,-1.14,0
FMCGIETF,22042025,60.31,0.72,60.61,0.5,1
MID150BEES,22042025,206.08,0.72,208.09,0.98,1
MSCIINDIA,22042025,28.47,0.72,28.65,0.63,1
BANKBEES,22042025,570.48,0.71,567.42,-0.54,0
ALPHAETF,22042025,23.56,0.71,23.69,0.55,1
MAXHEALTH,22042025,1128.7,0.71,1129.6,0.08,1
DIGIDRIVE,22042025,34.24,0.71,34.68,1.29,1
ENGINERSIN,22042025,184.13,0.7,185.25,0.61,1
LAGNAM,22042025,123.81,0.7,123.5,-0.25,0
AIRAN,22042025,28.77,0.7,28.71,-0.21,0
AAATECH,22042025,78.85,0.69,79.16,0.39,1
TRITURBINE,22042025,509.7,0.69,521.25,2.27,1
ALKEM,22042025,5013.6,0.69,5233.0,4.38,1
COCHINSHIP,22042025,1488.9,0.68,1485.7,-0.21,0
AONELIQUID,22042025,1004.62,0.68,1004.77,0.01,1
BSLGOLDETF,22042025,87.84,0.68,85.44,-2.73,0
AVTNPL,22042025,62.39,0.68,63.32,1.49,1
HAVELLS,22042025,1664.7,0.67,1612.0,-3.17,0
ALLDIGI,22042025,963.2,0.67,973.8,1.1,1
AMBUJACEM,22042025,577.9,0.67,574.35,-0.61,0
SUNFLAG,22042025,259.91,0.67,257.97,-0.75,0
LOWVOL1,22042025,19.85,0.67,20.07,1.11,1
OCCL,22042025,183.47,0.67,180.36,-1.7,0
PRITIKAUTO,22042025,16.96,0.67,16.99,0.18,1
NOCIL,22042025,191.03,0.67,188.33,-1.41,0
KIRLOSBROS,22042025,1749.3,0.67,1762.6,0.76,1
EDELWEISS,22042025,87.12,0.66,85.45,-1.92,0
GAIL,22042025,193.24,0.66,193.5,0.13,1
MIDCAP,22042025,156.49,0.66,157.32,0.53,1
MODIRUBBER,22042025,104.92,0.66,125.9,20.0,1
SIS,22042025,338.35,0.66,336.9,-0.43,0
VSTL,22042025,164.22,0.66,161.95,-1.38,0
SWSOLAR,22042025,314.35,0.65,325.2,3.45,1
AXISNIFTY,22042025,263.33,0.65,264.0,0.25,1
HMAAGRO,22042025,33.16,0.65,34.98,5.49,1
SETFNN50,22042025,693.86,0.65,697.09,0.47,1
SGIL,22042025,466.95,0.65,471.7,1.02,1
DREDGECORP,22042025,614.2,0.64,601.8,-2.02,0
AHLEAST,22042025,142.73,0.64,140.06,-1.87,0
PHARMABEES,22042025,21.85,0.64,22.16,1.42,1
SINDHUTRAD,22042025,18.63,0.64,19.39,4.08,1
RELIABLE,22042025,73.99,0.64,73.98,-0.01,0
IRCTC,22042025,774.85,0.64,784.95,1.3,1
DBCORP,22042025,251.78,0.64,250.26,-0.6,0
NDGL,22042025,4382.1,0.64,4300.7,-1.86,0
NITINSPIN,22042025,374.8,0.64,380.2,1.44,1
ZAGGLE,22042025,349.5,0.64,358.15,2.47,1
VETO,22042025,109.31,0.64,108.11,-1.1,0
MANALIPETC,22042025,58.02,0.63,57.35,-1.15,0
JETFREIGHT,22042025,12.78,0.63,12.75,-0.23,0
SUNDARMHLD,22042025,337.7,0.63,342.35,1.38,1
VHL,22042025,3869.4,0.63,3807.0,-1.61,0
UPL,22042025,672.7,0.63,679.9,1.07,1
LUXIND,22042025,1441.5,0.63,1432.6,-0.62,0
ECOSMOBLTY,22042025,203.59,0.63,203.42,-0.08,0
ABCAPITAL,22042025,203.82,0.63,207.98,2.04,1
INFOBEAN,22042025,303.5,0.63,304.5,0.33,1
GOKULAGRO,22042025,256.35,0.62,256.68,0.13,1
ALBERTDAVD,22042025,874.6,0.62,872.2,-0.27,0
21STCENMGM,22042025,78.89,0.62,79.14,0.32,1
EQUAL200,22042025,12.4,0.62,12.48,0.65,1
UNIVPHOTO,22042025,199.6,0.62,203.64,2.02,1
UMAEXPORTS,22042025,84.51,0.62,78.27,-7.38,0
VISHNU,22042025,426.6,0.62,433.5,1.62,1
JSFB,22042025,506.4,0.62,513.3,1.36,1
SOMICONVEY,22042025,193.68,0.62,194.04,0.19,1
DAMODARIND,22042025,35.2,0.62,34.57,-1.79,0
SHARDAMOTR,22042025,1619.7,0.61,1678.9,3.65,1
OSIAHYPER,22042025,25.72,0.61,25.13,-2.29,0
BHAGCHEM,22042025,282.95,0.61,282.35,-0.21,0
ELECTCAST,22042025,104.62,0.61,104.05,-0.54,0
HDFCNEXT50,22042025,66.44,0.61,66.66,0.33,1
FORTIS,22042025,664.6,0.61,676.65,1.81,1
NLCINDIA,22042025,245.97,0.61,244.56,-0.57,0
AXISGOLD,22042025,83.46,0.61,80.9,-3.07,0
HCL-INSYS,22042025,13.81,0.6,14.12,2.24,1
ADANIENSOL,22042025,929.6,0.6,938.8,0.99,1
SINTERCOM,22042025,123.76,0.6,124.91,0.93,1
ULTRACEMCO,22042025,11959.0,0.6,11949.0,-0.08,0
